id,routine,thread,avgPercent,avgTime,minTime,maxTime,stddev,avgTimeTotal,minTimeTotal,maxTimeTotal,numCalls,cumulative,imbalance,index
1,CLOUDSC,6,7.7039393939,34.8593813131,31.949,38.565,1.1636696728,34.8750252525,31.964,38.579,3969240,38.565,17.1554518346,0
7,CUMASTRN,6,3.1158333333,14.0993787879,10.064,16.532,1.274939138,38.4885328283,31.341,43.191,3969240,135.076,39.1241229131,1
13,CPDYDDH,6,3.0972222222,14.0137045455,13.24,15.06,0.3385063783,14.0335656566,13.257,15.081,3969240,83.473,12.0849933599,2
14,LAITRI,6,3.1039393939,14.0452929293,13.002,15.681,0.5793774005,14.0660656566,13.023,15.703,23815440,83.473,17.0843696193,3
25,CPG,6,2.6557070707,12.0162626263,11.147,12.9,0.2816421227,68.5316161616,66.508,69.745,3969240,129.224,13.5891472868,4
31,LAITLI,6,2.6068939394,11.7961994949,10.925,12.756,0.3501736829,11.8766085859,11.006,12.834,103200240,126.322,14.3540294763,5
37,LARCHE,6,2.3780050505,10.7599065657,9.537,13.373,0.5328194877,10.776719697,9.554,13.388,19846200,144.411,28.6846631272,6
43,VERINT_DGEMM_1,6,2.2657828283,10.2529949495,9.969,10.548,0.110378566,10.3058156566,10.019,10.601,44766480,150.705,5.4891922639,7
49,CUBASEN,6,1.8101767677,8.1912247475,5.582,12.146,1.3358443923,8.1978661616,5.586,12.156,3969240,225.201,54.042483122,8
55,VDFMAIN,6,1.7831818182,8.0690479798,7.274,8.853,0.2756640135,38.7266691919,32.303,42.535,7938480,168.142,17.8357618886,9
61,>MPL-TRLTOM_COMMS         ( 806),1,1.5395454545,6.9645757576,4.895,14.497,2.0208665397,6.9646818182,4.895,14.497,6798,240.88,66.2343933228,10
62,>MPL-TRMTOL_COMMS         ( 807),1,1.5124242424,6.8427272727,5.364,7.373,0.5949761352,6.8428030303,5.364,7.374,6600,226.755,27.2480672725,11
63,>MPL-TRLTOG_COMMS         ( 805),1,1.866969697,8.4479545455,5.681,13.231,1.698379965,8.4480606061,5.681,13.231,13200,223.275,57.0629582042,12
64,VERDISINT,6,1.4133585859,6.3961262626,6.022,6.77,0.1206681786,17.584219697,16.983,18.637,44779746,210.202,11.0487444609,13
67,LASCAW,6,1.451489899,6.5687247475,6.17,6.977,0.1411060378,8.4874116162,7.903,8.953,19846200,210.202,11.5665758922,14
76,LATTEX,6,1.4086363636,6.3735984848,6.007,6.928,0.1745264345,7.7147954545,7.26,8.429,3969240,210.202,13.2938799076,15
77,CPPHDDHE,6,1.3243181818,5.9936237374,5.228,7.616,0.3979750483,6.0014141414,5.234,7.626,3969240,228.996,31.3550420168,16
80,STATE_UPDATE,6,1.3625,6.1651919192,5.789,7.098,0.2205280625,6.1817651515,5.804,7.116,16899960,218.425,18.4418145957,17
91,VDFOUTER,6,1.2723737374,5.757709596,5.182,7.05,0.3297208701,44.4913611111,37.66,48.279,3969240,229.2,26.4964539007,18
94,CLOUD_SATADJ,6,1.2934343434,5.8524217172,5.562,6.305,0.1234440023,5.8577424242,5.568,6.311,3969240,227.512,11.7842981761,19
106,CUASCN,6,1.1931565657,5.3983383838,3.753,6.999,0.6017050513,7.5707323232,5.856,9.197,3969240,253.289,46.3780540077,20
111,FFTW_EXECUTE_DFT_C2R,6,1.1970454545,5.4154823232,4.428,6.059,0.4276105376,5.4605025253,4.524,6.085,64460800,253.289,26.9186334379,21
117,VDFEXCU,6,1.0922979798,4.9424166667,4.225,5.557,0.2041573001,4.9726313131,4.256,5.588,7938480,248.72,23.9697678604,22
123,SINPUT_ARD,6,1.0446212121,4.7272272727,4.306,5.143,0.1616979959,4.7471010101,4.324,5.163,1821534,250.024,16.2745479292,23
129,CLOUDVAR,6,0.9908333333,4.4833181818,1.751,7.382,1.1626036057,4.487969697,1.754,7.389,3969240,329.862,76.2801408832,24
134,SLTEND,6,0.957020202,4.3300984848,4.009,4.822,0.1461730824,4.3359318182,4.015,4.828,3969240,253.289,16.8602239735,25
142,>MPL-TRGTOL_COMMS         ( 803),1,1.7957575758,8.1217424242,1.789,16.471,3.5581381229,8.1218939394,1.789,16.471,13596,331.191,89.1384858236,26
143,CPCUDDH,6,0.8160353535,3.6928535354,3.313,4.084,0.1524473389,3.7024040404,3.323,4.094,7938480,269.348,18.8785504407,27
149,STATE_COPY,6,0.7408333333,3.35325,2.874,4.566,0.296568306,3.3659267677,2.887,4.58,11907720,282.259,37.0565045992,28
150,radiation_mcica_lw:solver_mcica_lw,6,0.7563636364,3.4224671717,2.752,4.159,0.3014443483,5.5519671717,4.334,6.736,121770,279.683,33.8302476557,29
155,LARMES,6,0.7440909091,3.3673409091,3.207,3.506,0.0473147013,20.8727272727,19.942,22.824,3969240,272.11,8.5282373075,30
157,VDFHGHTN,6,0.7280050505,3.2940151515,1.909,4.046,0.3764166487,3.3394747475,1.955,4.09,7938480,322.599,52.8175976273,31
